test_person,reference_image,test_image,img_size,response,resptime
Testperson 6,05,80,13466,5,2.446508
Testperson 6,04,90,11258,5,2.442809
Testperson 6,10,10,43294,6,2.021439
Testperson 6,03,10,85126,6,3.251759
Testperson 6,08,10,51322,6,4.355858
Testperson 6,04,10,81772,6,4.177982
Testperson 6,04,80,18731,6,0.539182
Testperson 6,07,70,11592,5,2.413286
Testperson 6,04,100,4048,2,4.428016
Testperson 6,08,70,13727,4,3.061781
Testperson 6,07,50,17001,5,4.633227
Testperson 6,03,20,61290,5,7.421237
Testperson 6,09,40,28271,5,2.094177
Testperson 6,04,70,24746,5,1.631288
Testperson 6,10,80,8359,5,2.487121
Testperson 6,08,100,2180,2,3.052954
Testperson 6,06,100,2903,0,4.821558
Testperson 6,09,30,34009,5,2.960171
Testperson 6,10,50,15545,6,2.193044
Testperson 6,05,10,67123,6,2.762746
Testperson 6,08,20,34101,6,1.762568
Testperson 6,01,80,15978,5,1.806608
Testperson 6,09,80,13392,5,1.095596
Testperson 6,05,100,2453,0,1.897429
Testperson 6,02,50,15773,5,3.62534
Testperson 6,01,20,53424,6,1.947054
Testperson 6,02,60,13203,6,1.980425
Testperson 6,09,70,17639,5,1.693216
Testperson 6,06,10,95297,6,6.373465
Testperson 6,08,60,16605,5,1.263855
Testperson 6,03,30,49608,6,1.993331
Testperson 6,09,60,21225,5,1.538479
Testperson 6,01,40,34958,5,4.238561
Testperson 6,10,70,11088,5,1.301356
Testperson 6,07,100,1757,0,1.771339
Testperson 6,08,80,10202,4,1.651141
Testperson 6,06,60,32304,4,1.323767
Testperson 6,04,60,29570,6,2.420891
Testperson 6,02,40,18581,6,0.70666
Testperson 6,01,100,2453,1,2.809498
Testperson 6,10,20,27742,6,4.955206
Testperson 6,07,60,14371,5,1.660092
Testperson 6,10,40,17868,6,1.072711
Testperson 6,08,40,22279,6,2.093832
Testperson 6,04,50,34081,6,1.289853
Testperson 6,07,30,24330,6,2.276334
Testperson 6,03,100,3673,2,3.601469
Testperson 6,02,20,30292,5,5.058884
Testperson 6,09,50,24634,5,3.425398
Testperson 6,10,30,21541,6,5.326794
Testperson 6,03,80,20670,4,2.318277
Testperson 6,06,20,66681,5,1.662581
Testperson 6,03,50,37120,6,1.777716
Testperson 6,01,10,78200,6,4.915616
